# package	version	install_role
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1	automatic
libdrm-common	2.4.113-2~ubuntu0.22.04.1	automatic
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1	automatic
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1	automatic
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1	automatic
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1	automatic
libelf1:amd64	0.186-1ubuntu0.1	automatic
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.4	automatic
libgl1:amd64	1.4.0-1	requested
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.4	automatic
libglib2.0-0:amd64	2.72.4-0ubuntu2.9	requested
libglvnd0:amd64	1.4.0-1	automatic
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.4	automatic
libglx0:amd64	1.4.0-1	automatic
libicu70:amd64	70.1-2	automatic
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3	automatic
libpciaccess0:amd64	0.16-3	automatic
libsensors-config	1:3.6.0-7ubuntu1	automatic
libsensors5:amd64	1:3.6.0-7ubuntu1	automatic
libx11-6:amd64	2:1.7.5-1ubuntu0.3	automatic
libx11-data	2:1.7.5-1ubuntu0.3	automatic
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3	automatic
libxau6:amd64	1:1.0.9-1build5	automatic
libxcb-dri2-0:amd64	1.14-3ubuntu3	automatic
libxcb-dri3-0:amd64	1.14-3ubuntu3	automatic
libxcb-glx0:amd64	1.14-3ubuntu3	automatic
libxcb-present0:amd64	1.14-3ubuntu3	automatic
libxcb-randr0:amd64	1.14-3ubuntu3	automatic
libxcb-shm0:amd64	1.14-3ubuntu3	automatic
libxcb-sync1:amd64	1.14-3ubuntu3	automatic
libxcb-xfixes0:amd64	1.14-3ubuntu3	automatic
libxcb1:amd64	1.14-3ubuntu3	automatic
libxdmcp6:amd64	1:1.1.3-0ubuntu5	automatic
libxext6:amd64	2:1.3.4-1build1	automatic
libxfixes3:amd64	1:6.0.0-1	automatic
libxml2:amd64	2.9.13+dfsg-1ubuntu0.12	automatic
libxshmfence1:amd64	1.3-1build4	automatic
libxxf86vm1:amd64	1:1.1.4-1build3	automatic
