,ReportNormId,ReportNormName
0,4399,Thu nhập lãi và các khoản thu nhập tương tự
1,4396,Chi phí lãi và các chi phí tương tự
2,4385,Thu nhập lãi thuần
3,4397,Thu nhập từ hoạt động dịch vụ
4,4398,Chi phí hoạt động dịch vụ
5,4386,"Lãi, lỗ thuần từ hoạt động dịch vụ"
6,4387,"Lãi, lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng"
7,4388,"Lãi, lỗ thuần từ mua bán chứng khoán kinh doanh"
8,4389,"Lãi, lỗ thuần từ mua bán chứng khoán đầu tư"
9,4394,Thu nhập khác
10,4395,Chi phí khác
11,4390,"Lãi, lỗ thuần từ hoạt động khác"
12,4393,"Thu nhập từ góp vốn, mua cổ phần"
13,4391,Chi phí hoạt động
14,4376,Lợi nhuận thuần từ hoạt động kinh doanh
15,4392,Chi phí dự phòng rủi ro tín dụng
16,4377,Tổng lợi nhuận kế toán trước thuế
17,4383,Chi phí thuế thu nhập hiện hành
18,4384,Chi phí thuế thu nhập hoãn lại
19,4382,Thuế Thu nhập doanh nghiệp phải nộp
20,4378,Lợi nhuận sau thuế thu nhập doanh nghiệp
21,4379,Lợi ích của cổ đông thiểu số (KQKD)
22,4380,Lợi nhuận sau thuế của cổ đông của Công ty mẹ
23,4381,Lãi cơ bản trên cổ phiếu
