,ReportNormId,ReportNormName
0,560,I. THÔNG TIN BỔ SUNG CHO CÁC KHOẢN MỤC TRÌNH BÀY TRONG BẢNG CÂN ĐỐI KẾ TOÁN
1,561,"Tiền, kim loại quý và đá quý"
2,562,Tiền mặt bằng VNĐ
3,563,Tiền mặt bằng ngoại tệ
4,564,Chứng từ có giá trị ngoại tệ
5,565,Vàng tiền tệ
6,566,Vàng phi tiền tệ
7,567,"Kim loại quý, đá quý khác"
8,568,Khác
9,569,Tiền gửi tại NHNN 
10,570,Tiền gửi tại NHNN Việt Nam
11,571, + Bằng VNĐ
12,572, + Bằng ngoại tệ
13,573,Tiền gửi phong tỏa
14,574,Tiền gửi khác
15,575,"Tiền, vàng gửi tại và cho vay các TCTD khác"
16,576,Tiền gửi tại các tổ chức tín dụng khác
17,577,-Tiền gửi không kỳ hạn
18,578, + Bằng VNĐ
19,579, + Bằng ngoại tệ
20,580, - Tiền gửi có kỳ hạn
21,581, + Bằng VNĐ
22,582, + Bằng ngoại tệ
23,583,- Dự phòng rủi ro tiền gửi tại các TCTD khác
24,584,- Khác
25,585,Cho vay tổ chức tín dụng khác
26,586, + Bằng VNĐ
27,587,"Trong đó: chiết khấu, tái chiết khấu"
28,588, + Bằng ngoại hối
29,589,"Trong đó: chiết khấu, tái chiết khấu"
30,590, + Dự phòng cho vay các tổ chức tín dụng khác(*)
31,591, + Khác
32,592,Chứng khoán kinh doanh
33,593,Chứng khoán kinh doanh (Phân loại theo tổ chức)
34,594,Chứng khoán nợ
35,595," + Do Chính phủ phát hành (NHNN, Kho bạc)"
36,596, + Do các TCTD khác trong nước phát hành
37,597, + Do các TCKT trong nước phát hành
38,598, + Do các TCKT nước ngoài phát hành
39,599, + Khác
40,600,Chứng khoán vốn
41,601," + Do Chính phủ phát hành (NHNN, Kho bạc)"
42,602, + Do các TCTD khác trong nước phát hành
43,603, + Do các TCKT trong nước phát hành
44,604, + Do các TCKT nước ngoài phát hành
45,605, + Khác
46,606,Chứng khoán kinh doanh khác
47,607," + Do Chính phủ phát hành (NHNN, Kho bạc)"
48,608, + Do các TCTD khác trong nước phát hành
49,609, + Do các TCKT trong nước phát hành
50,610, + Do các TCKT nước ngoài phát hành
51,611,Tổng số chứng khoán kinh doanh
52,612,Dự phòng giảm giá chứng khoán kinh doanh (*)
53,613,Trong đó:   + Dự phòng giảm giá
54,614,                 + Dự phòng chung
55,615,                 + Dự phòng cụ thể
56,616,Chứng khoán kinh doanh (Phân loại theo đã NY và chưa NY)
57,617,Chứng khoán nợ
58,618, + Đã niêm yết
59,619, + Chưa niêm yết
60,620,Chứng khoán vốn
61,621, + Đã niêm yết
62,622, + Chưa niêm yết
63,623,Chứng khoán kinh doanh khác
64,624, + Đã niêm yết
65,625, + Chưa niêm yết
66,626,Tổng số chứng khoán kinh doanh
67,627,Dự phòng giảm giá chứng khoán kinh doanh (*)
68,628,Trong đó:   + Dự phòng giảm giá
69,629,                 + Dự phòng chung
70,630,                 + Dự phòng cụ thể
